1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
447	-0.091145	227.369216	0.010122	4.4
448	-0.345680	227.120635	0.011698	5.0
449	-0.299811	226.872777	0.005902	5.8
450	-0.247334	226.625638	0.009126	4.1
451	-0.091688	226.379217	0.003268	5.2
452	-0.381555	226.133509	0.014912	7.0
453	-0.406234	225.888510	0.006565	4.7
454	-0.518786	225.644218	0.008762	5.4
455	-0.309267	225.400630	0.005008	5.9
456	-0.209857	225.157741	0.006752	4.0
457	-0.456151	224.915549	0.011418	4.1
458	-0.394871	224.674051	0.005415	3.9
459	-0.065349	224.433242	0.012272	4.9
460	-0.114564	224.193121	0.011390	3.7
461	-0.217333	223.953684	0.007094	4.2
462	-0.054635	223.714927	0.005770	4.1
463	-0.017347	223.476848	0.004816	4.6
464	-0.054984	223.239444	0.007634	3.9
465	-0.016429	223.002710	0.004268	4.2
466	-0.079839	222.766645	0.011299	4.4
467	-0.063216	222.531245	0.011584	4.5
468	-0.064722	222.296508	0.011321	3.8
469	-0.364391	222.062429	0.004703	4.5
470	-0.065223	221.829007	0.004947	4.3
471	-0.026786	221.596238	0.005130	4.5
472	-0.396639	221.364119	0.007309	3.9
473	-0.462842	221.132647	0.009741	4.5
474	-0.015805	220.901820	0.005119	4.4
475	-0.411651	220.671634	0.008015	4.0
476	-0.008110	220.442086	0.003242	3.7
477	-0.100176	220.213174	0.005232	4.4
478	-0.170786	219.984895	0.005332	4.5
479	-0.081012	219.757246	0.012273	4.2
480	-0.026142	219.530224	0.004125	4.0
481	-0.055479	219.303826	0.003221	4.5
482	-0.332836	219.078050	0.008924	5.5
483	-0.301511	218.852893	0.007259	4.2
484	-0.063663	218.628352	0.003347	4.0
485	-0.035741	218.404424	0.002898	4.0
486	-0.126721	218.181106	0.007720	7.5
487	-0.337882	217.958397	0.006212	6.5
488	-0.362295	217.736292	0.009427	7.7
489	-0.030213	217.514790	0.003546	5.1
490	-0.003991	217.293888	0.001580	4.6
491	-0.060899	217.073584	0.010971	4.6
492	-0.698978	216.853873	0.010116	4.1
493	-0.660541	216.634755	0.009409	4.1
494	-0.038984	216.416227	0.007177	4.1
495	-0.335669	216.198285	0.011521	4.8
496	-0.308610	215.980927	0.005777	4.1
497	-0.228801	215.764151	0.004774	4.0
498	-0.405350	215.547955	0.005091	4.0
499	-0.249425	215.332335	0.007714	5.2
500	-0.048304	215.117289	0.005881	3.7
501	-0.052339	214.902815	0.011230	4.0
502	-0.092327	214.688911	0.013619	4.2
503	-0.082039	214.475573	0.008903	5.0
504	-0.245059	214.262800	0.006332	3.8
505	-0.013000	214.050588	0.001836	4.3
506	-0.015979	213.838936	0.003891	3.8
507	-0.211636	213.627842	0.007836	4.3
508	-0.042182	213.417302	0.005252	3.9
509	-0.431233	213.207314	0.007413	4.5
510	-0.055328	212.997877	0.003773	4.6
511	-0.036896	212.788987	0.007770	4.8
512	-0.107831	212.580642	0.012879	4.0
513	-0.050564	212.372841	0.008643	4.3
514	-0.216102	212.165581	0.002903	4.6
515	-0.267861	211.958859	0.005362	4.2
516	-0.041610	211.752673	0.005672	3.9
517	-0.069358	211.547021	0.007744	4.3
518	-0.359865	211.341902	0.003578	4.5
519	-0.143751	211.137311	0.005004	4.0
520	-0.072469	210.933248	0.012240	4.0
521	-0.503780	210.729710	0.008584	4.3
522	-0.108806	210.526695	0.007939	5.0
523	-0.003078	210.324200	0.000757	3.8
524	-0.040211	210.122224	0.002294	3.9
525	-0.020399	209.920765	0.003920	4.6
526	-0.006147	209.719820	0.001103	5.0
527	-0.071729	209.519387	0.003847	3.8
528	-0.185644	209.319463	0.002512	4.0
529	-0.007819	209.120048	0.001962	4.2
530	-0.005192	208.921139	0.001193	4.7
531	-0.161864	208.722733	0.004351	3.9
532	-0.282346	208.524829	0.004935	4.4
533	-0.174841	208.327425	0.004762	6.0
534	-0.050766	208.130518	0.007110	4.2
535	-0.507439	207.934107	0.006651	3.9
536	-0.541374	207.738189	0.007347	4.4
537	-0.058236	207.542762	0.007974	5.0
538	-0.039445	207.347825	0.008264	4.0
539	-0.125282	207.153376	0.008804	4.3
540	-0.393733	206.959412	0.006122	4.6
541	-0.084477	206.765932	0.011836	5.4
542	-0.250389	206.572933	0.006887	3.8
543	-0.445596	206.380414	0.006113	4.1
544	-0.239816	206.188373	0.005058	4.2
545	-0.082267	205.996807	0.012937	4.2
546	-0.256497	205.805716	0.005741	3.8
547	-0.341921	205.615096	0.004248	4.4
548	-0.003991	205.424946	0.001202	4.4
549	-0.011455	205.235265	0.004058	4.3
550	-0.048435	205.046050	0.007731	3.8
551	-0.023458	204.857299	0.003235	4.2
552	-0.015541	204.669011	0.001539	4.0
553	-0.054058	204.481184	0.006623	31.3
554	-0.003680	204.293816	0.001375	11.8
555	-0.198176	204.106905	0.005711	8.9
556	-0.222763	203.920449	0.012508	6.9
557	-0.041462	203.734447	0.007115	5.6
558	-0.293894	203.548896	0.010218	4.6
559	-0.505682	203.363795	0.009057	3.8
560	-0.034658	203.179143	0.006487	4.5
561	-0.188753	202.994937	0.004090	5.7
562	-0.025468	202.811176	0.002931	4.1
563	-0.039436	202.627857	0.010190	3.8
564	-0.005623	202.444980	0.001900	4.1
565	-0.273983	202.262543	0.009005	4.3
566	-0.019732	202.080543	0.002227	4.4
567	-0.022346	201.898979	0.004873	4.0
568	-0.310110	201.717849	0.006945	4.4
569	-0.080191	201.537153	0.013861	4.9
570	-0.032184	201.356887	0.006543	3.8
571	-0.082269	201.177050	0.006954	4.1
572	-0.309886	200.997642	0.008695	4.4
573	-0.325630	200.818659	0.007546	4.6
574	-0.059931	200.640100	0.008061	3.9
575	-0.365542	200.461965	0.008597	4.3
576	-0.480097	200.284250	0.008908	3.7
577	-0.010183	200.106955	0.003461	4.5
578	-0.169935	199.930078	0.003597	3.9
579	-0.117221	199.753617	0.013463	4.4
580	-0.398366	199.577571	0.007437	3.8
581	-0.109794	199.401938	0.011091	5.0
582	-0.281213	199.226717	0.006942	4.3
583	-0.121869	199.051905	0.005046	4.3
584	-0.445663	198.877502	0.008102	4.2
585	-0.536141	198.703506	0.011912	4.3
586	-0.232157	198.529916	0.006707	4.2
587	-0.064074	198.356729	0.007574	4.3
588	-0.365141	198.183944	0.005139	4.3
589	-0.177304	198.011560	0.005220	4.2
590	-0.107430	197.839576	0.007343	3.9
591	-0.007795	197.667989	0.001021	4.4
592	-0.643389	197.496798	0.012037	5.0
593	-0.226610	197.326002	0.005224	4.4
594	-0.390416	197.155600	0.009863	4.1
595	-0.385451	196.985589	0.009833	4.6
596	-0.229234	196.815969	0.004495	4.3
597	-0.151818	196.646738	0.004105	4.0
598	-0.015976	196.477894	0.005811	4.4
599	-0.287383	196.309436	0.005832	3.8
600	-0.177578	196.141363	0.007919	4.5
601	-0.313127	195.973673	0.009460	4.0
602	-0.067699	195.806365	0.005274	4.3
603	-0.027823	195.639437	0.006425	3.9
604	-0.036550	195.472888	0.004929	4.5
605	-0.093704	195.306717	0.007994	4.0
606	-0.045285	195.140922	0.002206	4.3
607	-0.358681	194.975501	0.008437	4.3
608	-0.001410	194.810454	0.000680	4.6
609	-0.454625	194.645779	0.010968	3.7
610	-0.093502	194.481475	0.009803	4.1
611	-0.507320	194.317540	0.010449	4.0
612	-0.298411	194.153973	0.009108	4.4
613	-0.268043	193.990773	0.005873	3.9
614	-0.011026	193.827938	0.002110	4.2
615	-0.048745	193.665467	0.009344	3.9
616	-0.070763	193.503358	0.006192	4.3
617	-0.527376	193.341611	0.011594	3.8
618	-0.413666	193.180224	0.005020	4.4
619	-0.499918	193.019196	0.011313	4.8
620	-0.018787	192.858525	0.002306	15.9
621	-0.016396	192.698210	0.004266	73.9
622	-0.007807	192.538251	0.001731	5.6
623	-0.245761	192.378644	0.005162	17.9
624	-0.472006	192.219391	0.007229	8.5
625	-0.063460	192.060488	0.008526	6.4
